Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id,ll,v_gain,v_loss,u,p_fish,p_defer,p_safe,SubjectiveValue
2.0,3.0,52.0,2.0,6.0,1.0,0.0,2.0,9.744017e-01,3.0,1.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,3.0,53.0,-1.0,7.0,1.0,2.0,3.0,8.045889e-01,1.0,2.0,1.0,Sub111,-2.2463280534449366,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,3.0,54.0,-1.0,3.0,1.0,1.0,3.0,8.869816e-01,3.0,4.0,1.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,3.0,55.0,-3.0,5.0,1.0,2.0,3.0,1.170017e+00,1.0,4.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,3.0,56.0,-3.0,3.0,0.0,998.0,4.0,?,2.0,5.0,1.0,Sub111,,,,,,,,
2.0,3.0,57.0,-4.0,4.0,1.0,2.0,3.0,7.567112e-01,1.0,5.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,3.0,58.0,-2.0,4.0,1.0,2.0,3.0,8.503500e-01,2.0,4.0,1.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,3.0,59.0,-2.0,2.0,1.0,2.0,3.0,7.076636e-01,3.0,5.0,1.0,Sub111,-1.998182521041368,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,3.0,60.0,-4.0,4.0,1.0,2.0,3.0,7.772847e-01,1.0,5.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,0.7191782,5.0,1.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,1.0,2.0,-4.0,2.0,1.0,2.0,3.0,0.6315462,2.0,6.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,1.0,3.0,-2.0,6.0,1.0,1.0,3.0,1.022545,1.0,3.0,2.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,1.0,4.0,-4.0,2.0,1.0,2.0,3.0,0.690429,2.0,6.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,1.0,5.0,3.0,3.0,1.0,0.0,1.0,0.5812551,5.0,2.0,2.0,Sub111,-0.4388387576488356,1.0,-0.9999999999999999,0.29999999999870003,0.6447847378544684,0.0013498952343488635,0.35386536691118264,0.29999999999870003
2.0,1.0,6.0,-3.0,5.0,1.0,2.0,3.0,0.6525702,1.0,4.0,2.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,1.0,7.0,-1.0,5.0,1.0,1.0,1.0,0.7105217,2.0,3.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,1.0,8.0,4.0,2.0,1.0,0.0,2.0,0.5949293,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,1.0,9.0,-2.0,2.0,1.0,1.0,3.0,0.8147492,3.0,5.0,2.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,1.0,10.0,-1.0,5.0,1.0,1.0,3.0,0.897258,2.0,3.0,2.0,Sub111,-0.213685904574934,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,1.0,11.0,2.0,8.0,1.0,0.0,1.0,0.7384314,2.0,0.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,1.0,12.0,1.0,1.0,1.0,0.0,1.0,1.189462,5.0,4.0,2.0,Sub111,-0.7708160092806303,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
2.0,1.0,13.0,-4.0,4.0,1.0,1.0,3.0,0.7690685,1.0,5.0,2.0,Sub111,-2.114839766866272,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,1.0,14.0,-4.0,2.0,1.0,2.0,3.0,0.5639319,2.0,6.0,2.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,1.0,15.0,4.0,2.0,1.0,0.0,1.0,0.5924309,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,1.0,16.0,4.0,2.0,1.0,0.0,1.0,0.570514,6.0,2.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,1.0,17.0,4.0,6.0,1.0,0.0,2.0,0.6192732,4.0,0.0,2.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,1.0,18.0,2.0,4.0,1.0,0.0,1.0,0.7186888,4.0,2.0,2.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
