Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
2,2,38,1,3,1,0,1,0.8586867,4.0,3.0,3,Sub111
2,2,39,4,4,1,0,2,0.8139081,5.0,1.0,3,Sub111
2,2,40,4,2,1,0,2,0.5376373,6.0,2.0,3,Sub111
2,3,41,-3,1,1,2,3,0.7215463,3.0,6.0,3,Sub111
2,3,42,-1,7,1,1,3,0.7335492,1.0,2.0,3,Sub111
2,3,43,-3,5,1,0,1,0.7080072,1.0,4.0,3,Sub111
2,3,44,2,2,1,0,2,0.6475908,5.0,3.0,3,Sub111
2,3,45,2,4,1,0,2,0.6223761,4.0,2.0,3,Sub111
2,3,46,-3,1,1,2,3,0.6907634,3.0,6.0,3,Sub111
2,3,47,-2,4,1,1,3,0.8497261,2.0,4.0,3,Sub111
2,3,48,-4,4,1,2,3,0.7254184,1.0,5.0,3,Sub111
2,3,49,1,9,1,0,2,0.5424282,1.0,0.0,3,Sub111
2,3,50,2,6,1,0,2,0.5842947,3.0,1.0,3,Sub111
2,3,51,2,4,1,0,1,0.599314,4.0,2.0,3,Sub111
2,3,52,2,6,1,0,1,0.5470101,3.0,1.0,3,Sub111
2,3,53,-1,7,1,1,3,0.6494414,1.0,2.0,3,Sub111
2,3,54,-1,3,1,0,1,0.722947,3.0,4.0,3,Sub111
2,3,55,-3,5,1,1,3,0.7433325,1.0,4.0,3,Sub111
2,3,56,-3,3,1,1,3,0.5516638,2.0,5.0,3,Sub111
2,3,57,-4,4,1,2,3,0.7241597,1.0,5.0,3,Sub111
2,3,58,-2,4,1,2,3,0.8316791,2.0,4.0,3,Sub111
2,3,59,-2,2,1,2,3,0.5352378,3.0,5.0,3,Sub111
2,3,60,-4,4,1,2,3,0.5299602,1.0,5.0,3,Sub111
1,4,61,-1,3,1,2,3,0.7248263,3.0,4.0,3,Sub111
1,4,62,3,1,1,0,2,0.4660408,6.0,3.0,3,Sub111
1,4,63,-1,1,1,2,3,0.7894956,4.0,5.0,3,Sub111
1,4,64,4,2,1,0,2,0.5811767,6.0,2.0,3,Sub111
1,4,65,3,5,1,0,1,0.5348025,4.0,1.0,3,Sub111
1,4,66,-4,4,1,2,3,0.5832386,1.0,5.0,3,Sub111
1,4,67,-3,3,1,2,3,0.5617128,2.0,5.0,3,Sub111
1,4,68,-3,3,1,2,3,0.5570699,2.0,5.0,3,Sub111
1,4,69,1,9,1,0,2,0.6035269,1.0,0.0,3,Sub111
1,4,70,1,9,1,0,1,0.6792974,1.0,0.0,3,Sub111
1,4,71,4,2,1,0,2,0.5934843,6.0,2.0,3,Sub111
1,4,72,-3,5,1,2,3,0.6384136,1.0,4.0,3,Sub111
1,4,73,2,6,1,0,1,0.8114244,3.0,1.0,3,Sub111
1,4,74,-2,4,1,1,3,0.6009907,2.0,4.0,3,Sub111
1,4,75,3,7,1,0,2,0.8314609,3.0,0.0,3,Sub111
1,4,76,2,6,1,0,2,0.7031984,3.0,1.0,3,Sub111
1,4,77,-4,4,1,2,3,0.6908044,1.0,5.0,3,Sub111
1,4,78,2,8,1,0,2,0.6411864,2.0,0.0,3,Sub111
1,4,79,-2,6,1,1,3,0.5993075,1.0,3.0,3,Sub111
1,4,80,4,4,1,0,2,0.7110981,5.0,1.0,3,Sub111
2,1,1,4,4,1,0,2,0.5832208,5.0,1.0,4,Sub111
2,1,2,-4,2,1,2,3,0.6472461,2.0,6.0,4,Sub111
2,1,3,-2,6,1,1,3,0.576294,1.0,3.0,4,Sub111
2,1,4,-4,2,1,2,3,0.8732085,2.0,6.0,4,Sub111
2,1,5,3,3,1,0,2,0.6533659,5.0,2.0,4,Sub111
2,1,6,-3,5,1,2,3,0.5961604,1.0,4.0,4,Sub111
2,1,7,-1,5,1,1,3,0.6327449,2.0,3.0,4,Sub111
2,1,8,4,2,1,0,1,0.6000357,6.0,2.0,4,Sub111
2,1,9,-2,2,1,2,3,0.6623789,3.0,5.0,4,Sub111
2,1,10,-1,5,1,1,3,0.6174966,2.0,3.0,4,Sub111
2,1,11,2,8,1,0,2,0.7473774,2.0,0.0,4,Sub111
2,1,12,1,1,1,0,1,0.7216419,5.0,4.0,4,Sub111
2,1,13,-4,4,1,2,3,0.7530288,1.0,5.0,4,Sub111
2,1,14,-4,2,1,2,3,0.9292942,2.0,6.0,4,Sub111
2,1,15,4,2,1,0,2,0.7097617,6.0,2.0,4,Sub111
2,1,16,4,2,1,0,2,0.6926011,6.0,2.0,4,Sub111
2,1,17,4,6,1,0,1,0.8217689,4.0,0.0,4,Sub111
2,1,18,2,4,1,0,2,0.7241365,4.0,2.0,4,Sub111
2,1,19,-2,4,1,1,2,0.7872349,2.0,4.0,4,Sub111
2,1,20,3,7,1,0,2,0.6486566,3.0,0.0,4,Sub111
1,2,21,-1,5,1,1,3,0.8039093,2.0,3.0,4,Sub111
1,2,22,-1,5,1,1,3,0.4169159,2.0,3.0,4,Sub111
1,2,23,-3,5,1,2,3,0.8071801,1.0,4.0,4,Sub111
1,2,24,4,2,1,0,2,0.4477545,6.0,2.0,4,Sub111
1,2,25,4,6,1,0,2,0.570151,4.0,0.0,4,Sub111
1,2,26,1,7,1,1,1,0.7404371,2.0,1.0,4,Sub111
1,2,27,-1,5,1,1,3,0.6087218,2.0,3.0,4,Sub111
1,2,28,4,2,1,0,1,0.5778065,6.0,2.0,4,Sub111
1,2,29,-2,2,1,2,3,0.6076928,3.0,5.0,4,Sub111
1,2,30,3,1,1,0,2,0.5899861,6.0,3.0,4,Sub111
1,2,31,-4,4,1,2,3,0.6183155,1.0,5.0,4,Sub111
1,2,32,3,1,1,0,1,0.7008686,6.0,3.0,4,Sub111
1,2,33,2,8,1,0,1,0.5973083,2.0,0.0,4,Sub111
1,2,34,-3,5,1,2,3,0.6465504,1.0,4.0,4,Sub111
1,2,35,4,4,1,0,1,0.6843773,5.0,1.0,4,Sub111
1,2,36,2,8,1,0,1,0.5374034,2.0,0.0,4,Sub111
1,2,37,-4,2,1,2,3,0.7184397,2.0,6.0,4,Sub111
1,2,38,1,3,1,2,3,0.8916158,4.0,3.0,4,Sub111
1,2,39,4,4,1,0,1,0.5480975,5.0,1.0,4,Sub111
1,2,40,4,2,1,0,2,0.6173388,6.0,2.0,4,Sub111
1,3,41,-3,1,1,2,3,0.671871,3.0,6.0,4,Sub111
1,3,42,-1,7,1,1,1,0.7257608,1.0,2.0,4,Sub111
1,3,43,-3,5,1,1,3,0.7382483,1.0,4.0,4,Sub111
1,3,44,2,2,1,0,2,0.7397354,5.0,3.0,4,Sub111
1,3,45,2,4,1,0,2,0.8629261,4.0,2.0,4,Sub111
